12 10 !    total energy              =      -0.69326112 Ry
12 12 !    total energy              =      -0.69377122 Ry
12 14 !    total energy              =      -0.69407192 Ry
12 16 !    total energy              =      -0.69432041 Ry
12 18 !    total energy              =      -0.69442424 Ry
12 20 !    total energy              =      -0.69448565 Ry
12 22 !    total energy              =      -0.69450297 Ry
12 24 !    total energy              =      -0.69450311 Ry
12 26 !    total energy              =      -0.69450223 Ry
12 28 !    total energy              =      -0.69450554 Ry
12 30 !    total energy              =      -0.69451051 Ry
12 32 !    total energy              =      -0.69451728 Ry
12 34 !    total energy              =      -0.69452252 Ry
12 36 !    total energy              =      -0.69452774 Ry
12 38 !    total energy              =      -0.69453263 Ry
12 40 !    total energy              =      -0.69453667 Ry
12 42 !    total energy              =      -0.69453889 Ry
12 44 !    total energy              =      -0.69453999 Ry
12 46 !    total energy              =      -0.69454065 Ry
12 48 !    total energy              =      -0.69454118 Ry
12 50 !    total energy              =      -0.69454193 Ry
12 52 !    total energy              =      -0.69454279 Ry
12 54 !    total energy              =      -0.69454381 Ry
12 56 !    total energy              =      -0.69454459 Ry
12 58 !    total energy              =      -0.69454517 Ry
12 60 !    total energy              =      -0.69454561 Ry
12 10 !    total energy              =      -0.69326112 Ry
12 12 !    total energy              =      -0.69377122 Ry
12 14 !    total energy              =      -0.69407192 Ry
12 16 !    total energy              =      -0.69432041 Ry
12 18 !    total energy              =      -0.69442424 Ry
12 20 !    total energy              =      -0.69448565 Ry
12 22 !    total energy              =      -0.69450297 Ry
12 24 !    total energy              =      -0.69450311 Ry
12 26 !    total energy              =      -0.69450223 Ry
12 28 !    total energy              =      -0.69450554 Ry
12 30 !    total energy              =      -0.69451051 Ry
12 32 !    total energy              =      -0.69451728 Ry
12 34 !    total energy              =      -0.69452252 Ry
12 36 !    total energy              =      -0.69452774 Ry
12 38 !    total energy              =      -0.69453263 Ry
12 40 !    total energy              =      -0.69453667 Ry
12 42 !    total energy              =      -0.69453889 Ry
12 44 !    total energy              =      -0.69453999 Ry
12 46 !    total energy              =      -0.69454065 Ry
12 48 !    total energy              =      -0.69454118 Ry
12 50 !    total energy              =      -0.69454193 Ry
12 52 !    total energy              =      -0.69454279 Ry
12 54 !    total energy              =      -0.69454381 Ry
12 56 !    total energy              =      -0.69454459 Ry
12 58 !    total energy              =      -0.69454517 Ry
12 60 !    total energy              =      -0.69454561 Ry
12 10 !    total energy              =      -0.69326112 Ry
12 12 !    total energy              =      -0.69377122 Ry
12 14 !    total energy              =      -0.69407192 Ry
12 16 !    total energy              =      -0.69432041 Ry
12 18 !    total energy              =      -0.69442424 Ry
12 20 !    total energy              =      -0.69448565 Ry
12 22 !    total energy              =      -0.69450297 Ry
12 24 !    total energy              =      -0.69450311 Ry
12 26 !    total energy              =      -0.69450223 Ry
12 28 !    total energy              =      -0.69450554 Ry
12 30 !    total energy              =      -0.69451051 Ry
12 32 !    total energy              =      -0.69451728 Ry
12 34 !    total energy              =      -0.69452252 Ry
12 36 !    total energy              =      -0.69452774 Ry
12 38 !    total energy              =      -0.69453263 Ry
12 40 !    total energy              =      -0.69453667 Ry
12 42 !    total energy              =      -0.69453889 Ry
12 44 !    total energy              =      -0.69453999 Ry
12 46 !    total energy              =      -0.69454065 Ry
12 48 !    total energy              =      -0.69454118 Ry
12 50 !    total energy              =      -0.69454193 Ry
12 52 !    total energy              =      -0.69454279 Ry
12 54 !    total energy              =      -0.69454381 Ry
12 56 !    total energy              =      -0.69454459 Ry
12 58 !    total energy              =      -0.69454517 Ry
12 60 !    total energy              =      -0.69454561 Ry
