# equation of state: murnaghan.        chisq =   0.2547D-11
# a0 =  6.4325 a.u., k0 =  133 kbar, dk0 =  3.17 d2k0 =  0.000 emin =   -0.69497
# a0 =  3.40393 Ang, k0 =  13.3 GPa,  V0 =   133.08 (a.u.)^3,  V0 =   19.72 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  6.10000      -0.69334      -0.69334    -0.00000       2.76       -0.67201
  6.12000      -0.69354      -0.69354     0.00000       2.55       -0.67367
  6.14000      -0.69373      -0.69373     0.00000       2.34       -0.67529
  6.16000      -0.69390      -0.69390     0.00000       2.14       -0.67686
  6.18000      -0.69406      -0.69406     0.00000       1.95       -0.67840
  6.20000      -0.69420      -0.69420     0.00000       1.76       -0.67991
  6.22000      -0.69434      -0.69434    -0.00000       1.58       -0.68138
  6.24000      -0.69445      -0.69445    -0.00000       1.41       -0.68281
  6.26000      -0.69456      -0.69456    -0.00000       1.24       -0.68420
  6.28000      -0.69465      -0.69465    -0.00000       1.08       -0.68557
  6.30000      -0.69473      -0.69473    -0.00000       0.92       -0.68690
  6.32000      -0.69480      -0.69480     0.00000       0.77       -0.68820
  6.34000      -0.69486      -0.69486    -0.00000       0.62       -0.68947
  6.36000      -0.69490      -0.69490     0.00000       0.48       -0.69071
  6.38000      -0.69494      -0.69494    -0.00000       0.34       -0.69193
  6.40000      -0.69496      -0.69496    -0.00000       0.21       -0.69311
  6.42000      -0.69497      -0.69497     0.00000       0.08       -0.69426
  6.44000      -0.69497      -0.69497     0.00000      -0.05       -0.69539
  6.46000      -0.69496      -0.69496     0.00000      -0.17       -0.69650
  6.48000      -0.69494      -0.69495     0.00000      -0.28       -0.69757
  6.50000      -0.69491      -0.69492     0.00000      -0.40       -0.69863
  6.52000      -0.69488      -0.69488    -0.00000      -0.51       -0.69966
  6.54000      -0.69483      -0.69483    -0.00000      -0.61       -0.70067
  6.56000      -0.69477      -0.69477    -0.00000      -0.72       -0.70165
  6.58000      -0.69470      -0.69470    -0.00000      -0.82       -0.70261
  6.60000      -0.69463      -0.69463    -0.00000      -0.91       -0.70355
  6.62000      -0.69454      -0.69454    -0.00000      -1.01       -0.70447
  6.64000      -0.69444      -0.69445     0.00000      -1.10       -0.70536
  6.66000      -0.69434      -0.69434     0.00000      -1.18       -0.70624
  6.68000      -0.69423      -0.69423    -0.00000      -1.27       -0.70710
  6.70000      -0.69411      -0.69411     0.00000      -1.35       -0.70794
