# equation of state: murnaghan.        chisq =   0.4077D-12
# a0 =  6.3129 a.u., k0 =  150 kbar, dk0 =  3.38 d2k0 =  0.000 emin =   -0.68955
# a0 =  3.34064 Ang, k0 =  15.1 GPa,  V0 =   125.79 (a.u.)^3,  V0 =   18.64 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
  6.10000      -0.68883      -0.68883    -0.00000       1.85       -0.67454
  6.12000      -0.68896      -0.68896    -0.00000       1.65       -0.67613
  6.14000      -0.68908      -0.68908     0.00000       1.45       -0.67769
  6.16000      -0.68918      -0.68919     0.00000       1.26       -0.67920
  6.18000      -0.68928      -0.68928     0.00000       1.07       -0.68067
  6.20000      -0.68935      -0.68935     0.00000       0.89       -0.68211
  6.22000      -0.68942      -0.68942    -0.00000       0.72       -0.68351
  6.24000      -0.68947      -0.68947    -0.00000       0.56       -0.68487
  6.26000      -0.68950      -0.68950     0.00000       0.40       -0.68620
  6.28000      -0.68953      -0.68953     0.00000       0.24       -0.68749
  6.30000      -0.68954      -0.68954     0.00000       0.09       -0.68875
  6.32000      -0.68955      -0.68955     0.00000      -0.05       -0.68998
  6.34000      -0.68954      -0.68954    -0.00000      -0.19       -0.69118
  6.36000      -0.68951      -0.68951     0.00000      -0.32       -0.69234
  6.38000      -0.68948      -0.68948    -0.00000      -0.45       -0.69348
  6.40000      -0.68944      -0.68944    -0.00000      -0.58       -0.69459
  6.42000      -0.68939      -0.68939    -0.00000      -0.70       -0.69567
  6.44000      -0.68932      -0.68932    -0.00000      -0.81       -0.69672
  6.46000      -0.68925      -0.68925     0.00000      -0.93       -0.69775
  6.48000      -0.68916      -0.68916     0.00000      -1.04       -0.69875
  6.50000      -0.68907      -0.68907    -0.00000      -1.14       -0.69973
  6.52000      -0.68897      -0.68897     0.00000      -1.24       -0.70068
  6.54000      -0.68886      -0.68886     0.00000      -1.34       -0.70161
  6.56000      -0.68873      -0.68873     0.00000      -1.44       -0.70251
  6.58000      -0.68860      -0.68860     0.00000      -1.53       -0.70340
  6.60000      -0.68846      -0.68846     0.00000      -1.62       -0.70426
  6.62000      -0.68832      -0.68832     0.00000      -1.70       -0.70510
  6.64000      -0.68816      -0.68816     0.00000      -1.78       -0.70592
  6.66000      -0.68799      -0.68800     0.00000      -1.87       -0.70672
  6.68000      -0.68782      -0.68782    -0.00000      -1.94       -0.70750
  6.70000      -0.68764      -0.68764    -0.00000      -2.02       -0.70827
