10 !    total energy              =      -0.69157706 Ry
12 !    total energy              =      -0.69207693 Ry
14 !    total energy              =      -0.69243220 Ry
16 !    total energy              =      -0.69263804 Ry
18 !    total energy              =      -0.69276801 Ry
20 !    total energy              =      -0.69282989 Ry
22 !    total energy              =      -0.69284541 Ry
24 !    total energy              =      -0.69284624 Ry
26 !    total energy              =      -0.69284513 Ry
28 !    total energy              =      -0.69284852 Ry
30 !    total energy              =      -0.69285357 Ry
32 !    total energy              =      -0.69286008 Ry
34 !    total energy              =      -0.69286578 Ry
36 !    total energy              =      -0.69287095 Ry
38 !    total energy              =      -0.69287560 Ry
40 !    total energy              =      -0.69287981 Ry
42 !    total energy              =      -0.69288212 Ry
44 !    total energy              =      -0.69288326 Ry
46 !    total energy              =      -0.69288386 Ry
48 !    total energy              =      -0.69288435 Ry
50 !    total energy              =      -0.69288508 Ry
52 !    total energy              =      -0.69288609 Ry
54 !    total energy              =      -0.69288696 Ry
56 !    total energy              =      -0.69288768 Ry
58 !    total energy              =      -0.69288836 Ry
60 !    total energy              =      -0.69288878 Ry
62 !    total energy              =      -0.69288937 Ry
64 !    total energy              =      -0.69288993 Ry
66 !    total energy              =      -0.69289044 Ry
68 !    total energy              =      -0.69289073 Ry
70 !    total energy              =      -0.69289109 Ry
72 !    total energy              =      -0.69289138 Ry
74 !    total energy              =      -0.69289162 Ry
76 !    total energy              =      -0.69289193 Ry
78 !    total energy              =      -0.69289222 Ry
80 !    total energy              =      -0.69289256 Ry
